Age,Industry_grouped,JobTitle_grouped,Salary,AdditionalComp,Country_cleaned,ExperienceOverall,ExperienceField,Education,Gender,Race
25-34,Tech,Engineering & IT,90500.0,39062.5,United Kingdom,11 - 20 years,11 - 20 years,Master's degree,Man,White
25-34,Consulting,Management,60000.0,,United States,8 - 10 years,1 year or less,College degree,Woman,White
35-44,Finance,Management,150000.0,,United States,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,Another option not listed here or prefer not to answer
35-44,Finance,Strategist,41200.0,4000.0,United States,8 - 10 years,8 - 10 years,Some college,Woman,Black or African American
18-24,Healthcare,Administrative,11100.0,0.0,Canada,2 - 4 years,2 - 4 years,College degree,Woman,White
25-34,Logistics,Management,62500.0,2500.0,United Kingdom,8 - 10 years,5-7 years,College degree,Woman,"Asian or Asian American, White"
35-44,Tech,Administrative,60000.0,0.0,United States,21 - 30 years,8 - 10 years,College degree,Man,White
35-44,Finance,Data & Analytics,90000.0,16000.0,United States,11 - 20 years,2 - 4 years,Master's degree,Woman,White
45-54,Education,Executive,33000.0,0.0,United States,21 - 30 years,11 - 20 years,Master's degree,Woman,White
25-34,Marketing,Executive,35250.0,,United Kingdom,2 - 4 years,2 - 4 years,College degree,Woman,White
25-34,Education,Other,49050.0,,United States,5-7 years,5-7 years,Master's degree,Woman,White
35-44,Government,Strategist,43944.0,4000.0,United States,5-7 years,5-7 years,College degree,Woman,"Native American or Alaska Native, White"
25-34,Nonprofit,Engineering & IT,45000.0,0.0,United States,8 - 10 years,8 - 10 years,College degree,Woman,White
25-34,Finance,Engineering & IT,58000.0,0.0,United States,2 - 4 years,2 - 4 years,College degree,Woman,"Hispanic, Latino, or Spanish origin, White"
35-44,Education,Executive,97232.0,0.0,United States,21 - 30 years,11 - 20 years,Master's degree,Woman,White
35-44,Government,Management,1334782.0,0.0,United States,11 - 20 years,11 - 20 years,PhD,Woman,"Black or African American, White"
25-34,Education,Data & Analytics,92000.0,0.0,United States,5-7 years,5-7 years,Master's degree,Woman,White
25-34,Engineering & Manufacturing,Engineering & IT,81400.0,0.0,Canada,8 - 10 years,8 - 10 years,College degree,Woman,White
25-34,Education,Education & Training,42000.0,500.0,United States,8 - 10 years,8 - 10 years,Master's degree,Woman,White
35-44,Tech,Management,192000.0,15000.0,Australia,11 - 20 years,5-7 years,Master's degree,Woman,White
35-44,Tech,Executive,71000.0,,United States,11 - 20 years,2 - 4 years,PhD,Woman,White
45-54,Retail,Engineering & IT,30000.0,200.0,United States,21 - 30 years,5-7 years,College degree,Woman,White
25-34,Tech,Executive,180000.0,,United States,2 - 4 years,2 - 4 years,PhD,Woman,Asian or Asian American
25-34,Healthcare,Engineering & IT,31200.0,0.0,United States,8 - 10 years,1 year or less,College degree,Woman,White
35-44,Government,Education & Training,75000.0,0.0,United States,11 - 20 years,11 - 20 years,Master's degree,Woman,White
45-54,Education,Education & Training,90000.0,1200.0,United States,21 - 30 years,11 - 20 years,PhD,Woman,White
25-34,Tech,Education & Training,45875.0,0.0,United Kingdom,2 - 4 years,1 year or less,Master's degree,Woman,White
25-34,Tech,Engineering & IT,200000.0,250000.0,United States,11 - 20 years,8 - 10 years,College degree,Woman,White
45-54,Education,Education & Training,80000.0,12000.0,United States,21 - 30 years,21 - 30 years,Master's degree,Woman,White
18-24,Education,Education & Training,40000.0,,United States,1 year or less,1 year or less,College degree,Woman,"Asian or Asian American, White"
35-44,Education,Executive,64000.0,0.0,United States,8 - 10 years,8 - 10 years,Master's degree,Woman,White
35-44,Tech,Administrative,80500.0,2000.0,United States,5-7 years,2 - 4 years,PhD,Woman,White
45-54,Finance,Management,65860.0,6660.0,Canada,21 - 30 years,8 - 10 years,Some college,Woman,White
45-54,Tech,Management,141000.0,15000.0,United States,11 - 20 years,5-7 years,Master's degree,Other or prefer not to answer,White
35-44,Tech,Executive,135000.0,0.0,United States,11 - 20 years,11 - 20 years,College degree,Woman,White
35-44,Legal,Administrative,255000.0,65000.0,United States,5-7 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,White
25-34,Marketing,Management,63640.0,0.0,Canada,8 - 10 years,8 - 10 years,Some college,Woman,Asian or Asian American
35-44,Tech,Management,100500.0,2500.0,United States,11 - 20 years,11 - 20 years,College degree,Woman,White
35-44,Legal,Data & Analytics,88600.0,6600.0,United States,11 - 20 years,8 - 10 years,Master's degree,Woman,Another option not listed here or prefer not to answer
25-34,Education,Education & Training,62000.0,1500.0,United States,11 - 20 years,8 - 10 years,Master's degree,Woman,White
25-34,Consulting,Management,68000.0,,United States,11 - 20 years,8 - 10 years,College degree,Woman,White
25-34,Consulting,Administrative,104000.0,10000.0,United States,8 - 10 years,2 - 4 years,College degree,Woman,White
25-34,Art & Design,Management,68000.0,,New Zealand,5-7 years,2 - 4 years,Master's degree,Woman,White
25-34,Tech,Executive,92000.0,0.0,United States,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Non-binary,White
25-34,Retail,Assistant,350000.0,15000.0,Sweden,8 - 10 years,2 - 4 years,High School,Woman,"White, Another option not listed here or prefer not to answer"
25-34,Government,Data & Analytics,59000.0,2400.0,United States,5-7 years,2 - 4 years,Master's degree,Woman,White
25-34,Other,Project & Program Management,43000.0,0.0,United States,2 - 4 years,1 year or less,College degree,Woman,"Hispanic, Latino, or Spanish origin, White"
25-34,Government,Engineering & IT,93536.0,,Australia,2 - 4 years,1 year or less,Master's degree,Woman,White
25-34,Education,Education & Training,61767.0,,United States,5-7 years,5-7 years,Master's degree,Woman,"Black or African American, White"
35-44,Tech,Executive,135000.0,,United States,11 - 20 years,8 - 10 years,College degree,Woman,White
35-44,Tech,Management,62900.0,7400.0,Canada,11 - 20 years,11 - 20 years,College degree,Woman,Asian or Asian American
55-64,Tech,Administrative,61000.0,,United States,11 - 20 years,11 - 20 years,College degree,Woman,White
25-34,Education,Education & Training,115000.0,,United States,5-7 years,2 - 4 years,PhD,Woman,White
45-54,Media & Entertainment,Marketing & Communications,78000.0,,United States,21 - 30 years,21 - 30 years,College degree,Woman,White
35-44,Tech,Executive,80000.0,0.0,United States,11 - 20 years,5-7 years,Master's degree,Woman,
25-34,Government,Management,120000.0,,New Zealand,11 - 20 years,8 - 10 years,Master's degree,Woman,White
35-44,Healthcare,Healthcare,220000.0,,United States,8 - 10 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,White
35-44,Tech,Education & Training,38000.0,250.0,United States,5-7 years,5-7 years,Master's degree,Woman,White
55-64,Finance,Other,92000.0,3000.0,United States,31 - 40 years,31 - 40 years,College degree,Man,White
25-34,Healthcare,Management,96000.0,40000.0,United States,8 - 10 years,8 - 10 years,Master's degree,Woman,White
55-64,Other,Administrative,68750.0,0.0,United Kingdom,31 - 40 years,11 - 20 years,College degree,Woman,White
45-54,Consulting,Executive,55.0,,United States,21 - 30 years,11 - 20 years,College degree,Woman,White
25-34,Engineering & Manufacturing,Engineering & IT,75000.0,0.0,United States,2 - 4 years,2 - 4 years,College degree,Woman,Middle Eastern or Northern African
25-34,Engineering & Manufacturing,Other,77000.0,20000.0,United States,2 - 4 years,2 - 4 years,College degree,Woman,White
45-54,Government,Management,120660.0,0.0,United States,21 - 30 years,11 - 20 years,Master's degree,Woman,White
35-44,Tech,Executive,54000.0,0.0,United States,11 - 20 years,2 - 4 years,College degree,Woman,White
35-44,Government,Engineering & IT,110824.0,0.0,United States,11 - 20 years,11 - 20 years,College degree,Man,White
35-44,Other,Management,192400.0,,Canada,11 - 20 years,11 - 20 years,PhD,Woman,White
18-24,Education,Consulting,51500.0,1000.0,United States,1 year or less,1 year or less,College degree,Other or prefer not to answer,
25-34,Tech,Management,130000.0,30000.0,United States,11 - 20 years,2 - 4 years,Master's degree,Woman,White
25-34,Tech,Marketing & Communications,67000.0,,United States,8 - 10 years,5-7 years,Master's degree,Woman,"Hispanic, Latino, or Spanish origin"
25-34,Tech,Executive,72500.0,,United States,11 - 20 years,8 - 10 years,College degree,Woman,White
55-64,Tech,Management,120000.0,0.0,United States,31 - 40 years,31 - 40 years,Some college,Woman,White
35-44,Finance,Engineering & IT,172000.0,25000.0,Australia,11 - 20 years,11 - 20 years,Some college,Woman,White
25-34,Finance,Other,55000.0,10000.0,United States,5-7 years,5-7 years,College degree,Woman,White
55-64,Healthcare,Healthcare,126200.0,,United States,31 - 40 years,31 - 40 years,Some college,Woman,White
25-34,Retail,Management,85000.0,2000.0,Australia,11 - 20 years,11 - 20 years,High School,Woman,White
35-44,Retail,Administrative,26600.0,,United States,11 - 20 years,1 year or less,Some college,Woman,White
35-44,Government,Data & Analytics,153000.0,20000.0,United States,11 - 20 years,11 - 20 years,Master's degree,Woman,White
35-44,Tech,Data & Analytics,68000.0,,United States,21 - 30 years,5-7 years,College degree,Woman,White
25-34,Engineering & Manufacturing,Engineering & IT,110000.0,,United States,2 - 4 years,2 - 4 years,Master's degree,Woman,Middle Eastern or Northern African
25-34,Education,Management,68000.0,0.0,United States,2 - 4 years,2 - 4 years,College degree,Woman,White
55-64,Finance,Management,148000.0,50000.0,United States,31 - 40 years,31 - 40 years,Master's degree,Woman,White
55-64,Nonprofit,Marketing & Communications,70000.0,0.0,New Zealand,31 - 40 years,21 - 30 years,Master's degree,Woman,White
25-34,Tech,Strategist,110000.0,16500.0,Australia,5-7 years,5-7 years,College degree,Woman,White
18-24,Tech,Engineering & IT,113000.0,10000.0,United States,2 - 4 years,2 - 4 years,College degree,Woman,White
45-54,Tech,Executive,143000.0,,United States,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,White
25-34,Tech,Engineering & IT,64000.0,500.0,United States,5-7 years,2 - 4 years,College degree,Non-binary,White
35-44,Tech,Executive,125000.0,0.0,Australia,11 - 20 years,2 - 4 years,Master's degree,Woman,White
35-44,Government,Executive,108000.0,0.0,Australia,11 - 20 years,11 - 20 years,Master's degree,Woman,White
55-64,Engineering & Manufacturing,Engineering & IT,140000.0,0.0,United States,31 - 40 years,31 - 40 years,Master's degree,Woman,White
55-64,Tech,Executive,194000.0,4800.0,United States,31 - 40 years,31 - 40 years,College degree,Woman,White
25-34,Government,Executive,62000.0,0.0,United States,8 - 10 years,5-7 years,Master's degree,Woman,White
45-54,Education,Data & Analytics,75000.0,0.0,United States,21 - 30 years,21 - 30 years,Master's degree,Woman,White
45-54,Tech,Management,165000.0,5000.0,United States,2 - 4 years,2 - 4 years,PhD,Man,"Hispanic, Latino, or Spanish origin, White"
45-54,Tech,Engineering & IT,78078.0,1300.0,United States,21 - 30 years,2 - 4 years,College degree,Man,White
35-44,Tech,Executive,73000.0,0.0,United States,21 - 30 years,11 - 20 years,College degree,Woman,White
25-34,Nonprofit,Healthcare,72000.0,0.0,United States,8 - 10 years,5-7 years,"Professional degree (MD, JD, etc.)",Non-binary,White
45-54,Education,Executive,98000.0,0.0,United States,21 - 30 years,11 - 20 years,Master's degree,Woman,White
25-34,Retail,Management,70000.0,5000.0,United States,8 - 10 years,1 year or less,College degree,Woman,White
35-44,Tech,Executive,80000.0,,United States,11 - 20 years,5-7 years,PhD,Woman,Middle Eastern or Northern African
25-34,Tech,Engineering & IT,78000.0,9000.0,Switzerland,5-7 years,1 year or less,College degree,Woman,White
25-34,Engineering & Manufacturing,Management,70000.0,0.0,United States,11 - 20 years,2 - 4 years,Some college,Woman,White
25-34,Tech,Management,180000.0,0.0,United States,8 - 10 years,8 - 10 years,College degree,Man,White
25-34,Art & Design,Engineering & IT,58000.0,5800.0,Australia,5-7 years,5-7 years,Master's degree,Woman,White
35-44,Tech,Engineering & IT,59000.0,2000.0,United States,5-7 years,5-7 years,Master's degree,Man,White
35-44,Finance,Management,63000.0,,United States,11 - 20 years,8 - 10 years,,Woman,White
35-44,Logistics,Administrative,43000.0,0.0,United States,11 - 20 years,2 - 4 years,College degree,Woman,White
35-44,Tech,Management,107000.0,3000.0,United States,5-7 years,2 - 4 years,PhD,Woman,White
45-54,Tech,Executive,55000.0,0.0,United States,21 - 30 years,11 - 20 years,College degree,Woman,White
25-34,Government,Management,59000.0,0.0,United States,5-7 years,2 - 4 years,Master's degree,Non-binary,White
25-34,Healthcare,Healthcare,28080.000000000004,,Germany,11 - 20 years,2 - 4 years,Some college,Woman,"Black or African American, White"
55-64,Education,Other,53000.0,0.0,United States,31 - 40 years,2 - 4 years,College degree,Woman,Another option not listed here or prefer not to answer
45-54,Education,Education & Training,64500.0,,United States,21 - 30 years,11 - 20 years,Master's degree,Woman,White
25-34,Engineering & Manufacturing,Engineering & IT,90500.0,24500.0,United States,8 - 10 years,8 - 10 years,College degree,Woman,White
35-44,Engineering & Manufacturing,Management,146000.0,10000.0,United States,11 - 20 years,11 - 20 years,College degree,Woman,White
25-34,Education,Management,52000.0,,United Kingdom,2 - 4 years,2 - 4 years,PhD,Woman,White
25-34,Tech,Administrative,34375.0,,United Kingdom,5-7 years,2 - 4 years,Master's degree,Woman,White
35-44,Finance,Management,130000.0,15000.0,United States,11 - 20 years,8 - 10 years,College degree,Woman,White
45-54,Media & Entertainment,Management,70000.0,0.0,United States,21 - 30 years,21 - 30 years,College degree,Woman,White
55-64,Healthcare,Engineering & IT,71040.0,0.0,Canada,31 - 40 years,31 - 40 years,College degree,Woman,White
45-54,Government,Administrative,76000.0,,United States,11 - 20 years,5-7 years,Some college,Woman,White
35-44,Engineering & Manufacturing,Executive,167000.0,77000.0,United States,11 - 20 years,8 - 10 years,Master's degree,Woman,Asian or Asian American
25-34,Healthcare,Executive,117500.0,15000.0,United States,8 - 10 years,5-7 years,Master's degree,Woman,White
35-44,Marketing,Engineering & IT,72000.0,1500.0,United States,5-7 years,2 - 4 years,College degree,Woman,White
25-34,Tech,Management,48000.0,0.0,United States,2 - 4 years,2 - 4 years,College degree,Woman,White
35-44,Government,Education & Training,69000.0,,United States,2 - 4 years,2 - 4 years,Master's degree,Man,White
35-44,Education,Education & Training,51000.0,0.0,United States,11 - 20 years,8 - 10 years,College degree,Woman,White
35-44,Education,Marketing & Communications,48000.0,,United States,11 - 20 years,11 - 20 years,College degree,Woman,White
35-44,Tech,Administrative,58000.0,4000.0,Australia,11 - 20 years,5-7 years,Some college,Woman,White
25-34,Education,Management,124000.0,,United States,11 - 20 years,5-7 years,Master's degree,Woman,White
35-44,Legal,Engineering & IT,61500.0,1000.0,United States,11 - 20 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,White
35-44,Education,Education & Training,62000.0,0.0,United States,11 - 20 years,11 - 20 years,Master's degree,Woman,White
45-54,Other,Strategist,70000.0,0.0,United States,11 - 20 years,8 - 10 years,Master's degree,Woman,White
45-54,Healthcare,Engineering & IT,65000.0,0.0,United States,11 - 20 years,8 - 10 years,College degree,Woman,White
35-44,Tech,Management,79999.0,5000.0,United States,11 - 20 years,2 - 4 years,Master's degree,Woman,White
35-44,Tech,Management,100000.0,10000.0,United States,11 - 20 years,8 - 10 years,College degree,Woman,White
35-44,Tech,Executive,90000.0,0.0,United States,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,White
25-34,Tech,Administrative,67100.0,,Switzerland,8 - 10 years,8 - 10 years,Master's degree,Woman,"Asian or Asian American, White"
25-34,Legal,Administrative,225000.0,80000.0,United States,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,Asian or Asian American
35-44,Finance,Management,81000.0,2000.0,United States,8 - 10 years,5-7 years,Master's degree,Woman,White
25-34,Education,Data & Analytics,80000.0,,United States,11 - 20 years,11 - 20 years,College degree,Woman,White
35-44,Other,Engineering & IT,45000.0,,United States,11 - 20 years,11 - 20 years,College degree,Man,White
25-34,Tech,Management,39220.0,,Canada,5-7 years,5-7 years,College degree,Woman,White
25-34,Education,Management,185000.0,40000.0,United States,5-7 years,5-7 years,PhD,Man,White
35-44,Education,Education & Training,72520.0,3700.0,Canada,5-7 years,5-7 years,PhD,Woman,White
45-54,Education,Management,64380.0,0.0,Canada,21 - 30 years,8 - 10 years,Master's degree,Non-binary,White
55-64,Engineering & Manufacturing,Engineering & IT,108870.0,0.0,United States,21 - 30 years,21 - 30 years,Master's degree,Woman,White
35-44,Tech,Executive,76000.0,0.0,United States,11 - 20 years,11 - 20 years,College degree,Woman,White
25-34,Nonprofit,Strategist,28000.0,0.0,United States,8 - 10 years,2 - 4 years,College degree,Woman,White
25-34,Government,Project & Program Management,63000.0,0.0,United States,5-7 years,5-7 years,Master's degree,Woman,White
25-34,Education,Education & Training,80000.0,0.0,United States,5-7 years,5-7 years,PhD,Woman,"Hispanic, Latino, or Spanish origin"
35-44,Education,Healthcare,61567.0,0.0,United States,21 - 30 years,21 - 30 years,Master's degree,Woman,White
18-24,Tech,Other,13600.0,,United States,2 - 4 years,2 - 4 years,Some college,Woman,White
25-34,Education,Education & Training,46000.0,2000.0,United States,8 - 10 years,8 - 10 years,Master's degree,Woman,Another option not listed here or prefer not to answer
25-34,Healthcare,Healthcare,78000.0,,United States,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,White
35-44,Healthcare,Healthcare,93000.0,0.0,United States,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,White
25-34,Other,Executive,37000.0,,United States,11 - 20 years,5-7 years,College degree,Woman,White
25-34,Nonprofit,Management,40000.0,,United States,5-7 years,5-7 years,College degree,Woman,White
35-44,Marketing,Executive,130000.0,2500.0,United States,11 - 20 years,5-7 years,Master's degree,Woman,White
35-44,Education,Management,51800.0,0.0,United States,11 - 20 years,11 - 20 years,Master's degree,Woman,White
25-34,Engineering & Manufacturing,Management,108000.0,0.0,Australia,5-7 years,2 - 4 years,College degree,Woman,White
25-34,Healthcare,Healthcare,35000.0,0.0,United States,8 - 10 years,8 - 10 years,College degree,Woman,White
35-44,Legal,Executive,232000.0,70000.0,United States,21 - 30 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,White
25-34,Tech,Engineering & IT,142000.0,33000.0,United States,8 - 10 years,8 - 10 years,College degree,Woman,White
35-44,Education,Executive,62000.0,0.0,United States,8 - 10 years,8 - 10 years,Master's degree,Woman,White
25-34,Legal,Administrative,48800.0,0.0,United States,8 - 10 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,White
25-34,Healthcare,Data & Analytics,58018.96,,Canada,2 - 4 years,2 - 4 years,PhD,Woman,White
25-34,Education,Education & Training,47000.0,2640.0,United States,5-7 years,5-7 years,College degree,Woman,White
35-44,Finance,Finance & Accounting,81000.0,3000.0,United States,8 - 10 years,2 - 4 years,College degree,Woman,Black or African American
45-54,Tech,Engineering & IT,101000.0,,United States,21 - 30 years,21 - 30 years,Master's degree,Woman,White
25-34,Tech,Executive,68500.0,500.0,United States,5-7 years,5-7 years,Master's degree,Woman,"Asian or Asian American, Another option not listed here or prefer not to answer"
35-44,Education,Data & Analytics,65000.0,,United States,8 - 10 years,2 - 4 years,College degree,Woman,White
35-44,Tech,Executive,155000.0,10000.0,United States,11 - 20 years,11 - 20 years,Master's degree,Woman,White
35-44,Education,Executive,130000.0,0.0,Australia,11 - 20 years,8 - 10 years,Master's degree,Woman,White
25-34,Education,Project & Program Management,13400.0,14100.0,United States,2 - 4 years,2 - 4 years,College degree,Man,White
25-34,Education,Education & Training,41250.0,0.0,United Kingdom,8 - 10 years,8 - 10 years,Master's degree,Woman,White
25-34,Tech,Administrative,40200.0,,United States,2 - 4 years,1 year or less,College degree,Man,White
25-34,Tech,Management,86250.0,12500.0,United Kingdom,5-7 years,5-7 years,Master's degree,Woman,White
35-44,Education,Management,53000.0,1000.0,United States,11 - 20 years,11 - 20 years,Master's degree,Woman,White
45-54,Education,Management,58000.0,0.0,United States,21 - 30 years,21 - 30 years,Master's degree,Woman,White
25-34,Tech,Engineering & IT,130000.0,0.0,United States,5-7 years,2 - 4 years,College degree,Non-binary,White
35-44,Healthcare,Engineering & IT,86000.0,,United States,8 - 10 years,8 - 10 years,College degree,Woman,Another option not listed here or prefer not to answer
35-44,Tech,Executive,72000.0,,United States,11 - 20 years,11 - 20 years,College degree,Woman,White
45-54,Education,Education & Training,53000.0,,United States,21 - 30 years,21 - 30 years,College degree,Woman,White
35-44,Finance,Administrative,44400.0,1480.0,Canada,11 - 20 years,1 year or less,College degree,Woman,White
25-34,Engineering & Manufacturing,Administrative,33125.0,1250.0,United Kingdom,5-7 years,5-7 years,College degree,Woman,White
35-44,Retail,Sales,28600.0,1000.0,United States,11 - 20 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,White
45-54,Education,Executive,63750.0,0.0,United Kingdom,21 - 30 years,21 - 30 years,PhD,Woman,White
25-34,Legal,Legal,72520.0,,Canada,5-7 years,1 year or less,"Professional degree (MD, JD, etc.)",Non-binary,White
45-54,Engineering & Manufacturing,Executive,125000.0,15000.0,United States,21 - 30 years,21 - 30 years,"Professional degree (MD, JD, etc.)",Woman,White
25-34,Logistics,Management,135000.0,13500.0,United States,8 - 10 years,2 - 4 years,Master's degree,Woman,White
25-34,Finance,Assistant,120000.0,7500.0,United States,11 - 20 years,8 - 10 years,College degree,Woman,White
45-54,Tech,Management,133000.0,0.0,United States,21 - 30 years,21 - 30 years,"Professional degree (MD, JD, etc.)",Woman,White
25-34,Education,Management,78000.0,,United States,8 - 10 years,5-7 years,Master's degree,Woman,"Asian or Asian American, White"
25-34,Tech,Management,37960.0,4500.0,United States,8 - 10 years,5-7 years,College degree,Woman,White
25-34,Consulting,Management,150000.0,40000.0,United States,8 - 10 years,5-7 years,PhD,Woman,White
45-54,Education,Executive,98750.0,0.0,United Kingdom,21 - 30 years,21 - 30 years,Master's degree,Woman,White
35-44,Finance,Consulting,80000.0,30000.0,United States,11 - 20 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,Asian or Asian American
35-44,Government,Engineering & IT,87304.0,,United States,11 - 20 years,11 - 20 years,College degree,Woman,White
25-34,Tech,Management,170000.0,40000.0,United States,8 - 10 years,8 - 10 years,Master's degree,Woman,White
45-54,Education,Executive,207500.0,,United States,21 - 30 years,11 - 20 years,Master's degree,Man,White
45-54,Tech,Management,58912.88,,Canada,21 - 30 years,21 - 30 years,College degree,Woman,White
35-44,Government,Engineering & IT,106000.0,,United States,5-7 years,5-7 years,PhD,Woman,White
45-54,Education,Executive,81000.0,0.0,United States,21 - 30 years,21 - 30 years,Master's degree,Woman,White
45-54,Tech,Engineering & IT,264000.0,500000.0,United States,31 - 40 years,31 - 40 years,College degree,Man,Asian or Asian American
35-44,Tech,Management,81400.0,0.0,Canada,11 - 20 years,11 - 20 years,Master's degree,Woman,"Hispanic, Latino, or Spanish origin"
18-24,Tech,Engineering & IT,66500.0,5900.0,United States,2 - 4 years,2 - 4 years,College degree,Woman,White
35-44,Marketing,Marketing & Communications,70000.0,0.0,United States,21 - 30 years,8 - 10 years,Some college,Woman,White
35-44,Tech,Management,95500.0,1000.0,United States,11 - 20 years,5-7 years,College degree,Woman,White
25-34,Finance,Finance & Accounting,52500.0,2000.0,United States,8 - 10 years,8 - 10 years,College degree,Woman,White
45-54,Tech,Engineering & IT,57500.0,0.0,United Kingdom,21 - 30 years,21 - 30 years,Master's degree,Woman,White
25-34,Finance,Finance & Accounting,45000.0,0.0,United States,8 - 10 years,8 - 10 years,Master's degree,Woman,White
45-54,Tech,Management,78000.0,,United States,21 - 30 years,21 - 30 years,College degree,Woman,White
25-34,Education,Education & Training,47000.0,,United States,5-7 years,5-7 years,Master's degree,Woman,White
45-54,Legal,Legal,52000.0,6000.0,United States,21 - 30 years,2 - 4 years,College degree,Woman,White
25-34,Tech,Management,71000.0,,United States,5-7 years,5-7 years,College degree,Non-binary,White
45-54,Finance,Executive,114000.0,10000.0,United States,21 - 30 years,21 - 30 years,Master's degree,Woman,White
35-44,Legal,Legal,63000.0,1000.0,United States,11 - 20 years,11 - 20 years,Master's degree,Woman,White
45-54,Government,Executive,39960.0,,Canada,2 - 4 years,2 - 4 years,College degree,Woman,White
35-44,Tech,Executive,140000.0,0.0,United States,11 - 20 years,11 - 20 years,College degree,Woman,White
45-54,Tech,Engineering & IT,130000.0,,United States,21 - 30 years,1 year or less,Master's degree,Woman,Black or African American
25-34,Consulting,Management,116000.0,5000.0,United States,8 - 10 years,2 - 4 years,College degree,Woman,White
25-34,Retail,Management,39520.0,300.0,United States,11 - 20 years,11 - 20 years,College degree,Woman,White
55-64,Government,Administrative,68000.0,0.0,United States,31 - 40 years,21 - 30 years,Master's degree,Woman,White
25-34,Legal,Legal,148000.0,0.0,United States,8 - 10 years,5-7 years,"Professional degree (MD, JD, etc.)",Man,White
25-34,Education,Education & Training,45000.0,0.0,United States,2 - 4 years,2 - 4 years,College degree,Non-binary,White
25-34,Healthcare,Other,99000.0,,United States,8 - 10 years,8 - 10 years,College degree,Woman,White
55-64,Education,Engineering & IT,125000.0,,United States,21 - 30 years,31 - 40 years,PhD,Woman,"Hispanic, Latino, or Spanish origin, White"
25-34,Healthcare,Strategist,58635.0,,United States,2 - 4 years,2 - 4 years,College degree,Woman,Asian or Asian American
35-44,Tech,Executive,136240.0,0.0,United States,11 - 20 years,8 - 10 years,College degree,Woman,White
35-44,Engineering & Manufacturing,Management,134000.0,33000.0,United States,11 - 20 years,11 - 20 years,Master's degree,Woman,White
25-34,Education,Executive,70000.0,0.0,United States,8 - 10 years,8 - 10 years,Master's degree,Woman,White
35-44,Marketing,Management,106000.0,10000.0,United States,11 - 20 years,8 - 10 years,College degree,Woman,White
35-44,Marketing,Management,40000.0,,United States,5-7 years,11 - 20 years,Master's degree,Woman,White
25-34,Tech,Management,65000.0,,United States,5-7 years,5-7 years,College degree,Woman,White
35-44,Healthcare,Healthcare,70000.0,0.0,United States,11 - 20 years,11 - 20 years,PhD,Woman,White
25-34,Tech,Engineering & IT,104000.0,0.0,United States,2 - 4 years,2 - 4 years,College degree,Man,White
25-34,Tech,Executive,101000.0,,United States,11 - 20 years,8 - 10 years,Master's degree,Woman,White
25-34,Education,Engineering & IT,50000.0,0.0,United States,8 - 10 years,2 - 4 years,Master's degree,Woman,White
25-34,Education,Administrative,75000.0,0.0,Australia,8 - 10 years,1 year or less,College degree,Woman,White
25-34,Education,Education & Training,83940.0,10000.0,United States,5-7 years,5-7 years,Master's degree,Man,White
45-54,Engineering & Manufacturing,Management,78500.0,3000.0,United States,11 - 20 years,8 - 10 years,Master's degree,Woman,White
25-34,Legal,Management,215000.0,20000.0,Australia,11 - 20 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,White
25-34,Education,Education & Training,46000.0,1000.0,United States,2 - 4 years,2 - 4 years,PhD,Woman,White
55-64,Legal,Executive,33125.0,,United Kingdom,31 - 40 years,11 - 20 years,College degree,Woman,White
35-44,Healthcare,Executive,92000.0,5000.0,United States,11 - 20 years,8 - 10 years,Master's degree,Woman,"Asian or Asian American, White"
25-34,Tech,Engineering & IT,42180.0,2220.0,Canada,5-7 years,5-7 years,Master's degree,Woman,White
25-34,Finance,Management,28750.0,2500.0,United Kingdom,8 - 10 years,5-7 years,College degree,Woman,White
25-34,Tech,Management,48600.0,,France,8 - 10 years,8 - 10 years,Master's degree,Woman,Another option not listed here or prefer not to answer
25-34,Tech,Management,65880.0,,United States,11 - 20 years,11 - 20 years,College degree,Woman,White
25-34,Government,Other,58500.0,2000.0,United States,2 - 4 years,2 - 4 years,Master's degree,Woman,White
45-54,Tech,Management,120000.0,20000.0,United States,31 - 40 years,11 - 20 years,Master's degree,Woman,White
35-44,Finance,Management,88000.0,5000.0,United States,8 - 10 years,8 - 10 years,College degree,Man,White
35-44,Healthcare,Management,76000.0,0.0,United States,21 - 30 years,11 - 20 years,College degree,Woman,White
45-54,Engineering & Manufacturing,Human Resources,63000.0,3000.0,United States,21 - 30 years,8 - 10 years,Some college,Woman,White
